Unnamed: 0,animal_id,datetime,monthyear,date_of_birth,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,name
457,A817909,2020-06-06T18:36:00.000,2020-06-06T18:36:00.000,2019-07-28T00:00:00.000,Adoption,,Dog,Spayed Female,10 months,Rottweiler,Black/Brown,*Frida Kahlo
458,A818346,2020-06-06T15:07:00.000,2020-06-06T15:07:00.000,2020-04-06T00:00:00.000,Transfer,Partner,Dog,Intact Male,1 month,Siberian Husky,White,
459,A817861,2020-06-06T15:06:00.000,2020-06-06T15:06:00.000,2018-05-27T00:00:00.000,Adoption,,Dog,Spayed Female,2 years,American Bulldog,Black Brindle/White,Beauty
460,A817657,2020-06-06T14:54:00.000,2020-06-06T14:54:00.000,2019-05-22T00:00:00.000,Return to Owner,,Dog,Neutered Male,1 year,Pit Bull,Brown,Rutter
461,A818199,2020-06-06T14:51:00.000,2020-06-06T14:51:00.000,2020-04-03T00:00:00.000,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Black/White,*Ginger Spice
462,A817656,2020-06-06T14:50:00.000,2020-06-06T14:50:00.000,2016-05-22T00:00:00.000,Return to Owner,,Dog,Neutered Male,4 years,Pit Bull/German Shepherd,Black,Dexter
463,A818348,2020-06-06T13:38:00.000,2020-06-06T13:38:00.000,2020-04-06T00:00:00.000,Euthanasia,At Vet,Cat,Intact Female,,Domestic Shorthair,Blue Tabby,
464,A818198,2020-06-06T12:34:00.000,2020-06-06T12:34:00.000,2020-04-03T00:00:00.000,Adoption,,Cat,Spayed Female,2 months,Domestic Shorthair,Black,*Posh Spice
465,A811028,2020-06-06T12:11:00.000,2020-06-06T12:11:00.000,2017-12-26T00:00:00.000,Adoption,Foster,Dog,Spayed Female,2 years,Labrador Retriever Mix,White,*Lola
466,A815956,2020-06-06T12:05:00.000,2020-06-06T12:05:00.000,2020-03-29T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black/White,*David
467,A815955,2020-06-06T12:02:00.000,2020-06-06T12:02:00.000,2020-03-29T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black/White,*Johnny
468,A817784,2020-06-06T11:43:00.000,2020-06-06T11:43:00.000,2018-05-26T00:00:00.000,Adoption,,Dog,Spayed Female,2 years,Staffordshire,Black/White,*Libby
469,A818355,2020-06-06T10:33:00.000,2020-06-06T10:33:00.000,2019-06-06T00:00:00.000,Transfer,Partner,Dog,Intact Female,1 year,Feist Mix,Tan,
470,A814973,2020-06-06T08:51:00.000,2020-06-06T08:51:00.000,2019-10-09T00:00:00.000,Adoption,Foster,Dog,Spayed Female,7 months,Chihuahua Shorthair,Tan,*Pixie
471,A818327,2020-06-06T08:12:00.000,2020-06-06T08:12:00.000,2018-06-05T00:00:00.000,Euthanasia,Rabies Risk,Other,Unknown,2 years,Bat,Brown,
472,A818230,2020-06-06T08:11:00.000,2020-06-06T08:11:00.000,2019-06-04T00:00:00.000,Euthanasia,Rabies Risk,Other,Unknown,1 year,Bat,Brown,
473,A817300,2020-06-06T06:30:00.000,2020-06-06T06:30:00.000,2020-03-22T00:00:00.000,Adoption,Foster,Dog,Spayed Female,2 months,Labrador Retriever/Great Pyrenees,White/Brown,*Birdie May
474,A818038,2020-06-05T18:08:00.000,2020-06-05T18:08:00.000,2019-10-01T00:00:00.000,Adoption,,Dog,Spayed Female,8 months,Plott Hound Mix,Brown Brindle/White,*Cheyenne
475,A817679,2020-06-05T17:58:00.000,2020-06-05T17:58:00.000,2018-05-22T00:00:00.000,Return to Owner,,Dog,Spayed Female,2 years,Pit Bull Mix,White/Black,Cookie
476,A817680,2020-06-05T17:58:00.000,2020-06-05T17:58:00.000,2018-05-22T00:00:00.000,Return to Owner,,Dog,Spayed Female,2 years,Pit Bull Mix,Black/White,Bella
477,A817681,2020-06-05T17:58:00.000,2020-06-05T17:58:00.000,2019-09-23T00:00:00.000,Return to Owner,,Dog,Intact Male,8 months,Pit Bull Mix,Black/White,Sniper
478,A813080,2020-06-05T13:36:00.000,2020-06-05T13:36:00.000,2013-02-03T00:00:00.000,Adoption,Foster,Dog,Intact Female,7 years,Labrador Retriever/Beagle,Black/White,*Maya
479,A817483,2020-06-05T13:12:00.000,2020-06-05T13:12:00.000,2018-05-17T00:00:00.000,Adoption,,Dog,Neutered Male,2 years,Cardigan Welsh Corgi,Red/White,
480,A646084,2020-06-05T13:02:00.000,2020-06-05T13:02:00.000,2009-01-17T00:00:00.000,Return to Owner,,Dog,Neutered Male,11 years,Labrador Retriever Mix,Black,Max
481,A818229,2020-06-05T11:55:00.000,2020-06-05T11:55:00.000,2019-10-04T00:00:00.000,Return to Owner,,Dog,Neutered Male,8 months,Great Dane,Black/White,
482,A818119,2020-06-05T11:31:00.000,2020-06-05T11:31:00.000,2010-06-02T00:00:00.000,Transfer,Partner,Dog,Neutered Male,10 years,Shih Tzu,Sable/Black,Benji
483,A818294,2020-06-05T10:51:00.000,2020-06-05T10:51:00.000,2019-06-05T00:00:00.000,Euthanasia,Suffering,Other,Unknown,1 year,Fox,Brown/Gray,
484,A812489,2020-06-05T08:27:00.000,2020-06-05T08:27:00.000,2009-12-23T00:00:00.000,Adoption,Foster,Cat,Spayed Female,10 years,Domestic Shorthair,Black/White,White Sox
485,A814648,2020-06-05T08:23:00.000,2020-06-05T08:23:00.000,2019-03-03T00:00:00.000,Adoption,Foster,Dog,Spayed Female,1 year,Staffordshire Mix,Brown/White,*Strawberry
486,A713882,2020-06-04T18:41:00.000,2020-06-04T18:41:00.000,2014-03-14T00:00:00.000,Adoption,,Dog,Neutered Male,6 years,Staffordshire/Plott Hound,Brown Brindle,Jonah
487,A817623,2020-06-04T17:03:00.000,2020-06-04T17:03:00.000,2018-05-21T00:00:00.000,Adoption,,Dog,Spayed Female,2 years,Pit Bull,Tan/White,*Munchkin
488,A712321,2020-06-04T16:42:00.000,2020-06-04T16:42:00.000,2015-06-21T00:00:00.000,Return to Owner,,Cat,Neutered Male,4 years,Domestic Medium Hair Mix,Black/White,Juno
489,A817863,2020-06-04T14:45:00.000,2020-06-04T14:45:00.000,2018-05-27T00:00:00.000,Adoption,,Dog,Neutered Male,2 years,American Bulldog,Brown Brindle/White,*Beef
490,A818091,2020-06-04T13:16:00.000,2020-06-04T13:16:00.000,2019-04-01T00:00:00.000,Transfer,Partner,Dog,Neutered Male,1 year,English Setter Mix,Buff/White,Chip
491,A721891,2020-06-04T12:19:00.000,2020-06-04T12:19:00.000,2015-08-06T00:00:00.000,Return to Owner,,Cat,Neutered Male,4 years,Domestic Shorthair Mix,Black,Midnight
492,A666770,2020-06-04T12:13:00.000,2020-06-04T12:13:00.000,2010-11-07T00:00:00.000,Adoption,,Dog,Neutered Male,9 years,Siberian Husky Mix,Black/Brown,Josh
493,A818123,2020-06-04T12:12:00.000,2020-06-04T12:12:00.000,2019-08-02T00:00:00.000,Transfer,Partner,Cat,Intact Female,10 months,Domestic Shorthair Mix,White/Cream Tabby,Curious
494,A812684,2020-06-04T12:12:00.000,2020-06-04T12:12:00.000,2019-08-26T00:00:00.000,Transfer,Partner,Cat,Intact Female,9 months,Domestic Shorthair,White/Orange Tabby,Roo
495,A818024,2020-06-04T11:20:00.000,2020-06-04T11:20:00.000,2020-05-01T00:00:00.000,Transfer,Partner,Dog,Intact Female,4 weeks,Chihuahua Shorthair,Black/White,
496,A818219,2020-06-04T09:41:00.000,2020-06-04T09:41:00.000,2019-06-03T00:00:00.000,Disposal,,Other,Unknown,1 year,Raccoon,Gray/Black,
497,A816806,2020-06-03T21:29:00.000,2020-06-03T21:29:00.000,2020-03-19T00:00:00.000,Adoption,Foster,Dog,Spayed Female,2 months,Labrador Retriever Mix,Brown/White,
498,A815964,2020-06-03T19:10:00.000,2020-06-03T19:10:00.000,2018-04-01T00:00:00.000,Return to Owner,,Cat,Neutered Male,2 years,Domestic Shorthair,Brown Tabby/White,Stripey
499,A818110,2020-06-03T19:06:00.000,2020-06-03T19:06:00.000,2019-10-02T00:00:00.000,Return to Owner,,Dog,Intact Male,8 months,Pit Bull,White,
500,A818111,2020-06-03T19:06:00.000,2020-06-03T19:06:00.000,2019-10-02T00:00:00.000,Return to Owner,,Dog,Intact Male,8 months,Pit Bull,White,Polar
501,A733252,2020-06-03T19:00:00.000,2020-06-03T19:00:00.000,2016-04-13T00:00:00.000,Return to Owner,,Dog,Intact Female,4 years,Siberian Husky,Black/White,Shabby
502,A818161,2020-06-03T18:49:00.000,2020-06-03T18:49:00.000,2019-12-19T00:00:00.000,Transfer,Partner,Dog,Intact Female,5 months,Pit Bull,Brown/White,
503,A818196,2020-06-03T18:27:00.000,2020-06-03T18:27:00.000,2020-05-03T00:00:00.000,Transfer,Partner,Cat,Intact Female,4 weeks,Domestic Shorthair,Black,
504,A818212,2020-06-03T17:31:00.000,2020-06-03T17:31:00.000,2020-05-10T00:00:00.000,Transfer,Partner,Dog,Intact Female,3 weeks,Labrador Retriever/German Shepherd,Brown,
505,A818211,2020-06-03T17:31:00.000,2020-06-03T17:31:00.000,2020-05-10T00:00:00.000,Transfer,Partner,Dog,Intact Female,3 weeks,Labrador Retriever/German Shepherd,Tan,
506,A818210,2020-06-03T17:15:00.000,2020-06-03T17:15:00.000,2020-05-10T00:00:00.000,Transfer,Partner,Dog,Intact Female,3 weeks,Labrador Retriever/German Shepherd,Tan/White,
507,A818209,2020-06-03T17:14:00.000,2020-06-03T17:14:00.000,2020-05-10T00:00:00.000,Transfer,Partner,Dog,Intact Female,3 weeks,Labrador Retriever/German Shepherd,Black/White,
508,A818208,2020-06-03T17:14:00.000,2020-06-03T17:14:00.000,2020-05-10T00:00:00.000,Transfer,Partner,Dog,Intact Female,3 weeks,Labrador Retriever/German Shepherd,Black,
509,A818207,2020-06-03T17:14:00.000,2020-06-03T17:14:00.000,2020-05-10T00:00:00.000,Transfer,Partner,Dog,Intact Female,3 weeks,Labrador Retriever/German Shepherd,Black,
510,A813234,2020-06-03T17:11:00.000,2020-06-03T17:11:00.000,2014-02-08T00:00:00.000,Adoption,,Cat,Neutered Male,6 years,Domestic Shorthair,Orange Tabby,George
511,A814665,2020-06-03T17:02:00.000,2020-06-03T17:02:00.000,2016-03-03T00:00:00.000,Adoption,,Dog,Neutered Male,4 years,Pointer Mix,White/Chocolate,Lobo
512,A817907,2020-06-03T16:05:00.000,2020-06-03T16:05:00.000,2018-05-28T00:00:00.000,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever,Black/White,Bailey
513,A817929,2020-06-03T16:04:00.000,2020-06-03T16:04:00.000,2018-05-29T00:00:00.000,Adoption,,Dog,Neutered Male,2 years,Clumber Spaniel,White/Brown,*Pablo
514,A817945,2020-06-03T14:37:00.000,2020-06-03T14:37:00.000,2020-03-14T00:00:00.000,Adoption,,Cat,Intact Female,2 months,Domestic Shorthair,Tortie,
515,A817685,2020-06-03T14:34:00.000,2020-06-03T14:34:00.000,2015-05-23T00:00:00.000,Return to Owner,,Dog,Intact Male,5 years,Shih Tzu,Chocolate,Boy
516,A817684,2020-06-03T14:34:00.000,2020-06-03T14:34:00.000,2019-05-23T00:00:00.000,Return to Owner,,Dog,Intact Male,1 year,Shih Tzu,White/Black,Benji
517,A809900,2020-06-03T14:30:00.000,2020-06-03T14:30:00.000,2017-02-24T00:00:00.000,Adoption,,Dog,Spayed Female,3 years,Pit Bull,Blue/White,Kona
518,A818168,2020-06-03T14:08:00.000,2020-06-03T14:08:00.000,2020-05-27T00:00:00.000,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair,Orange Tabby,
519,A818167,2020-06-03T14:06:00.000,2020-06-03T14:06:00.000,2020-05-27T00:00:00.000,Transfer,Partner,Cat,Intact Female,1 week,Domestic Shorthair,Tortie,
520,A818166,2020-06-03T14:04:00.000,2020-06-03T14:04:00.000,2020-05-27T00:00:00.000,Transfer,Partner,Cat,Intact Male,1 week,Domestic Shorthair,Brown Tabby,
521,A818182,2020-06-03T14:03:00.000,2020-06-03T14:03:00.000,2020-05-12T00:00:00.000,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Tortie,
522,A818181,2020-06-03T14:02:00.000,2020-06-03T14:02:00.000,2020-05-12T00:00:00.000,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Black/White,
523,A817910,2020-06-03T14:01:00.000,2020-06-03T14:01:00.000,2020-05-12T00:00:00.000,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair,Blue,*Baby Blue
524,A816386,2020-06-03T13:53:00.000,2020-06-03T13:53:00.000,2018-04-16T00:00:00.000,Adoption,Foster,Dog,Neutered Male,2 years,Alaskan Husky,Black/Cream,*Kent
525,A817525,2020-06-03T13:36:00.000,2020-06-03T13:36:00.000,2020-03-21T00:00:00.000,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Medium Hair Mix,Black,*Dot
526,A817052,2020-06-03T13:15:00.000,2020-06-03T13:15:00.000,2008-05-07T00:00:00.000,Adoption,Foster,Dog,Spayed Female,12 years,Miniature Poodle,White,*Millie
527,A817960,2020-06-03T13:12:00.000,2020-06-03T13:12:00.000,2018-05-29T00:00:00.000,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair,Orange,Rusty
528,A817980,2020-06-03T13:11:00.000,2020-06-03T13:11:00.000,2018-05-29T00:00:00.000,Transfer,Partner,Cat,Neutered Male,2 years,Russian Blue,Blue,
529,A776565,2020-06-03T13:10:00.000,2020-06-03T13:10:00.000,2016-07-16T00:00:00.000,Return to Owner,,Dog,Neutered Male,3 years,Great Pyrenees,White/White,Max
530,A818148,2020-06-03T13:10:00.000,2020-06-03T13:10:00.000,2010-06-02T00:00:00.000,Return to Owner,,Dog,Neutered Male,10 years,Jack Russell Terrier,Tricolor,Ritchie
531,A817551,2020-06-03T12:38:00.000,2020-06-03T12:38:00.000,2018-05-19T00:00:00.000,Return to Owner,,Dog,Neutered Male,2 years,Australian Cattle Dog/St. Bernard Smooth Coat,Tricolor,Bean
532,A817729,2020-06-03T12:19:00.000,2020-06-03T12:19:00.000,2020-03-26T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,
533,A631050,2020-06-03T12:09:00.000,2020-06-03T12:09:00.000,2011-06-30T00:00:00.000,Return to Owner,,Cat,Neutered Male,8 years,Domestic Shorthair Mix,White/Black,Oreo
534,A817290,2020-06-03T11:50:00.000,2020-06-03T11:50:00.000,2019-05-13T00:00:00.000,Adoption,Foster,Cat,Spayed Female,1 year,Domestic Shorthair,Gray/White,*Bonbon
535,A809200,2020-06-03T11:39:00.000,2020-06-03T11:39:00.000,2015-10-21T00:00:00.000,Adoption,Foster,Dog,Spayed Female,4 years,Labrador Retriever/Beagle,Tan/White,Bella
536,A818165,2020-06-03T10:56:00.000,2020-06-03T10:56:00.000,2020-04-18T00:00:00.000,Transfer,Partner,Dog,Intact Male,1 month,Pit Bull Mix,Brown Brindle/White,*Moonshine
537,A818164,2020-06-03T10:55:00.000,2020-06-03T10:55:00.000,2020-04-18T00:00:00.000,Transfer,Partner,Dog,Intact Male,1 month,Pit Bull Mix,Blue,*Firewater
538,A816825,2020-06-03T08:50:00.000,2020-06-03T08:50:00.000,2020-03-29T00:00:00.000,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Orange Tabby,
539,A818133,2020-06-03T00:00:00.000,2020-06-03T00:00:00.000,2015-06-02T00:00:00.000,Transfer,Partner,Dog,Spayed Female,5 years,Chihuahua Longhair,Black/White,Betty
540,A817975,2020-06-02T17:50:00.000,2020-06-02T17:50:00.000,2020-02-14T00:00:00.000,Adoption,,Dog,Spayed Female,3 months,Australian Kelpie,Tan/White,Bella
541,A817939,2020-06-02T17:38:00.000,2020-06-02T17:38:00.000,2019-12-14T00:00:00.000,Adoption,,Dog,Spayed Female,5 months,Great Dane/Border Collie,Black/White,Domino
542,A817799,2020-06-02T17:24:00.000,2020-06-02T17:24:00.000,2018-05-26T00:00:00.000,Adoption,,Dog,Spayed Female,2 years,Labrador Retriever Mix,White,*Millie
543,A806599,2020-06-02T17:00:00.000,2020-06-02T17:00:00.000,2016-10-13T00:00:00.000,Adoption,,Dog,Neutered Male,3 years,German Shepherd,Black/Tan,Max
544,A818128,2020-06-02T16:41:00.000,2020-06-02T16:41:00.000,2020-04-26T00:00:00.000,Euthanasia,Suffering,Cat,Intact Male,1 month,Domestic Shorthair,Orange Tabby,
545,A817296,2020-06-02T16:17:00.000,2020-06-02T16:17:00.000,2018-05-13T00:00:00.000,Adoption,,Dog,Spayed Female,2 years,Great Pyrenees/Labrador Retriever,White/Black,*Maple
546,A814427,2020-06-02T16:09:00.000,2020-06-02T16:09:00.000,2019-11-29T00:00:00.000,Transfer,Partner,Cat,Spayed Female,6 months,Domestic Longhair Mix,Brown Tabby,*Villanelle
547,A816884,2020-06-02T16:08:00.000,2020-06-02T16:08:00.000,2018-05-01T00:00:00.000,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Shorthair,Cream Tabby/White,Rex
548,A817976,2020-06-02T16:01:00.000,2020-06-02T16:01:00.000,2020-02-14T00:00:00.000,Adoption,,Dog,Spayed Female,3 months,Australian Kelpie,Tricolor,Asher
549,A817884,2020-06-02T15:12:00.000,2020-06-02T15:12:00.000,2012-05-28T00:00:00.000,Transfer,Partner,Cat,Spayed Female,8 years,Domestic Medium Hair,White/Black,
550,A817832,2020-06-02T15:01:00.000,2020-06-02T15:01:00.000,2007-05-28T00:00:00.000,Adoption,Foster,Dog,Spayed Female,13 years,Soft Coated Wheaten Terrier Mix,Tan,*Olive
551,A815278,2020-06-02T14:51:00.000,2020-06-02T14:51:00.000,2020-03-06T00:00:00.000,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Torbie/White,*Brownie
552,A584775,2020-06-02T14:34:00.000,2020-06-02T14:34:00.000,2009-03-22T00:00:00.000,Adoption,Foster,Dog,Neutered Male,11 years,Pit Bull,White/Blue Merle,Prince
553,A804756,2020-06-02T14:09:00.000,2020-06-02T14:09:00.000,2019-06-18T00:00:00.000,Return to Owner,,Dog,Spayed Female,11 months,Catahoula Mix,Black/Brown,Faith
554,A662101,2020-06-02T13:27:00.000,2020-06-02T13:27:00.000,2010-06-20T00:00:00.000,Adoption,Foster,Dog,Neutered Male,9 years,Boxer/Chinese Sharpei,Brown Brindle/White,Chino
555,A816385,2020-06-02T13:22:00.000,2020-06-02T13:22:00.000,2018-04-16T00:00:00.000,Adoption,Foster,Dog,Spayed Female,2 years,Pit Bull,Blue/White,*Magpie
556,A814406,2020-06-02T12:54:00.000,2020-06-02T12:54:00.000,2020-02-28T00:00:00.000,Adoption,Foster,Dog,Spayed Female,3 months,Labrador Retriever Mix,Tricolor,
557,A818117,2020-06-02T12:41:00.000,2020-06-02T12:41:00.000,2017-08-02T00:00:00.000,Return to Owner,,Dog,Intact Male,2 years,American Staffordshire Terrier Mix,White/Black,Max
558,A817901,2020-06-02T11:54:00.000,2020-06-02T11:54:00.000,2018-05-28T00:00:00.000,Transfer,Partner,Dog,Intact Male,2 years,Dachshund Mix,Chocolate/Tan,
559,A817393,2020-06-02T11:14:00.000,2020-06-02T11:14:00.000,2019-02-18T00:00:00.000,Transfer,Partner,Dog,Intact Female,1 year,Maltese,White,*Elsie
560,A803559,2020-06-02T10:37:00.000,2020-06-02T10:37:00.000,2011-09-03T00:00:00.000,Adoption,Foster,Dog,Spayed Female,8 years,Labrador Retriever/Border Collie,Black/White,*Lima Bean
561,A815275,2020-06-02T09:07:00.000,2020-06-02T09:07:00.000,2018-03-13T00:00:00.000,Adoption,Foster,Cat,Spayed Female,2 years,Domestic Shorthair Mix,Torbie/White,*Juliet
562,A816743,2020-06-02T08:50:00.000,2020-06-02T08:50:00.000,2020-03-27T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby,*Jerry
563,A816744,2020-06-02T08:42:00.000,2020-06-02T08:42:00.000,2020-03-27T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Brown Tabby/White,*Tom
564,A816674,2020-06-02T08:19:00.000,2020-06-02T08:19:00.000,2020-03-24T00:00:00.000,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair,Calico,
565,A816675,2020-06-02T08:13:00.000,2020-06-02T08:13:00.000,2020-03-24T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black/White,
566,A816676,2020-06-02T08:05:00.000,2020-06-02T08:05:00.000,2020-03-24T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Black,
567,A815693,2020-06-02T07:37:00.000,2020-06-02T07:37:00.000,2018-03-23T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 years,Domestic Shorthair,White/Orange,*Pepperoni
568,A811629,2020-06-02T07:09:00.000,2020-06-02T07:09:00.000,2017-01-08T00:00:00.000,Adoption,Foster,Dog,Neutered Male,3 years,American Staffordshire Terrier,Brown/White,Jojo
569,A816680,2020-06-02T07:02:00.000,2020-06-02T07:02:00.000,2010-04-24T00:00:00.000,Adoption,Foster,Dog,Spayed Female,10 years,Australian Kelpie Mix,Brown Brindle,Stitch
570,A817324,2020-06-02T06:42:00.000,2020-06-02T06:42:00.000,2019-07-13T00:00:00.000,Adoption,Foster,Cat,Spayed Female,10 months,Domestic Shorthair,Black,*Debbie
571,A817835,2020-06-02T00:00:00.000,2020-06-02T00:00:00.000,2018-05-27T00:00:00.000,Transfer,Partner,Dog,Neutered Male,2 years,Miniature Poodle Mix,White,
572,A816523,2020-06-01T19:33:00.000,2020-06-01T19:33:00.000,2011-04-21T00:00:00.000,Adoption,,Cat,Spayed Female,9 years,Domestic Medium Hair,Torbie,Mrs. Norris
573,A818085,2020-06-01T18:19:00.000,2020-06-01T18:19:00.000,2020-04-16T00:00:00.000,Transfer,Partner,Dog,Intact Female,1 month,Pit Bull Mix,Black/White,Harlequin
574,A818099,2020-06-01T18:00:00.000,2020-06-01T18:00:00.000,2020-05-17T00:00:00.000,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Black/White,
575,A818029,2020-06-01T17:44:00.000,2020-06-01T17:44:00.000,2014-05-31T00:00:00.000,Return to Owner,,Dog,Spayed Female,6 years,Labrador Retriever,Black,Blue
576,A783957,2020-06-01T16:43:00.000,2020-06-01T16:43:00.000,2016-11-09T00:00:00.000,Return to Owner,,Dog,Neutered Male,3 years,Chihuahua Shorthair Mix,Black/White,Dino
577,A817802,2020-06-01T15:26:00.000,2020-06-01T15:26:00.000,2019-05-26T00:00:00.000,Transfer,Partner,Dog,Neutered Male,1 year,Dachshund/Chihuahua Shorthair,Black,
578,A818002,2020-06-01T13:57:00.000,2020-06-01T13:57:00.000,2018-05-30T00:00:00.000,Return to Owner,,Dog,Intact Female,2 years,Vizsla,Brown,Piper
579,A818050,2020-06-01T13:25:00.000,2020-06-01T13:25:00.000,2018-06-01T00:00:00.000,Return to Owner,,Dog,Intact Female,2 years,Pug,Brown/Fawn,
580,A818049,2020-06-01T13:24:00.000,2020-06-01T13:24:00.000,2018-06-01T00:00:00.000,Return to Owner,,Dog,Intact Female,2 years,Pit Bull,White/Gray,
581,A818074,2020-06-01T13:19:00.000,2020-06-01T13:19:00.000,2020-05-10T00:00:00.000,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,
582,A818073,2020-06-01T13:18:00.000,2020-06-01T13:18:00.000,2020-05-10T00:00:00.000,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Brown Tabby/White,
583,A818072,2020-06-01T13:18:00.000,2020-06-01T13:18:00.000,2020-05-10T00:00:00.000,Transfer,Partner,Cat,Intact Male,3 weeks,Domestic Shorthair Mix,Black Smoke,
584,A818071,2020-06-01T13:17:00.000,2020-06-01T13:17:00.000,2020-05-10T00:00:00.000,Transfer,Partner,Cat,Intact Female,3 weeks,Domestic Shorthair Mix,Calico,
585,A817326,2020-06-01T13:17:00.000,2020-06-01T13:17:00.000,2019-07-13T00:00:00.000,Adoption,,Cat,Spayed Female,10 months,Domestic Shorthair,Brown Tabby/White,*Eliza
586,A818068,2020-06-01T13:17:00.000,2020-06-01T13:17:00.000,2020-05-13T00:00:00.000,Transfer,Partner,Cat,Intact Male,2 weeks,Domestic Shorthair,Cream Tabby/White,
587,A798085,2020-06-01T12:48:00.000,2020-06-01T12:48:00.000,2018-06-21T00:00:00.000,Return to Owner,,Dog,Intact Male,1 year,Shih Tzu Mix,Gray,E-Bear
588,A800046,2020-06-01T12:05:00.000,2020-06-01T12:05:00.000,2009-07-15T00:00:00.000,Return to Owner,,Dog,Neutered Male,10 years,Chihuahua Shorthair,Tan/White,Colt
589,A817749,2020-06-01T11:58:00.000,2020-06-01T11:58:00.000,2020-03-09T00:00:00.000,Adoption,,Dog,Spayed Female,2 months,Labrador Retriever,Black/White,
590,A798140,2020-06-01T11:28:00.000,2020-06-01T11:28:00.000,2017-12-22T00:00:00.000,Return to Owner,,Dog,Intact Male,2 years,Miniature Poodle,Apricot,Canelo
591,A818042,2020-06-01T11:00:00.000,2020-06-01T11:00:00.000,2020-05-17T00:00:00.000,Transfer,Partner,Cat,Intact Female,2 weeks,Domestic Shorthair,Lilac Point,Bon Bon
592,A818037,2020-05-31T17:55:00.000,2020-05-31T17:55:00.000,2020-04-19T00:00:00.000,Return to Owner,,Dog,Intact Female,1 month,Labrador Retriever/German Shepherd,Black/Tricolor,
593,A817724,2020-05-31T16:28:00.000,2020-05-31T16:28:00.000,2019-05-24T00:00:00.000,Adoption,,Dog,Neutered Male,1 year,Siberian Husky,White/Black,*Neeko
594,A818013,2020-05-31T15:46:00.000,2020-05-31T15:46:00.000,2018-05-30T00:00:00.000,Transfer,Partner,Cat,Neutered Male,2 years,Domestic Longhair,Black,*Smokey
595,A817446,2020-05-31T14:00:00.000,2020-05-31T14:00:00.000,2018-05-16T00:00:00.000,Adoption,,Dog,Spayed Female,2 years,Pit Bull Mix,White,*Peaches
596,A792484,2020-05-31T13:00:00.000,2020-05-31T13:00:00.000,2018-04-11T00:00:00.000,Adoption,,Dog,Neutered Male,2 years,German Shepherd Mix,Cream,Taros
597,A818021,2020-05-31T09:36:00.000,2020-05-31T09:36:00.000,2020-03-30T00:00:00.000,Euthanasia,Rabies Risk,Other,Unknown,2 months,Bat,Brown/Brown,
598,A818020,2020-05-31T09:35:00.000,2020-05-31T09:35:00.000,2020-03-30T00:00:00.000,Euthanasia,Rabies Risk,Other,Unknown,2 months,Bat,Brown/Brown,
599,A817753,2020-05-30T19:06:00.000,2020-05-30T19:06:00.000,2020-04-27T00:00:00.000,Euthanasia,Suffering,Cat,Intact Male,4 weeks,Domestic Shorthair,Orange Tabby/Brown,
600,A817873,2020-05-30T17:17:00.000,2020-05-30T17:17:00.000,2017-08-01T00:00:00.000,Return to Owner,,Dog,Intact Female,2 years,German Shepherd,Brown/Black,Shae
601,A818001,2020-05-30T17:04:00.000,2020-05-30T17:04:00.000,2018-05-30T00:00:00.000,Return to Owner,,Dog,Spayed Female,2 years,German Shepherd Mix,Brown/Black,Swis
602,A818015,2020-05-30T16:50:00.000,2020-05-30T16:50:00.000,2020-05-28T00:00:00.000,Transfer,Partner,Cat,Unknown,2 days,Domestic Shorthair,Orange Tabby,
603,A818014,2020-05-30T16:50:00.000,2020-05-30T16:50:00.000,2020-05-28T00:00:00.000,Transfer,Partner,Cat,Unknown,2 days,Domestic Shorthair,Orange Tabby/White,
