Unnamed: 0,animal_id,datetime,monthyear,date_of_birth,outcome_type,outcome_subtype,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,name
353,A818565,2020-06-11T11:13:00.000,2020-06-11T11:13:00.000,2020-06-10T00:00:00.000,Died,In Kennel,Cat,Unknown,1 day,Domestic Shorthair,Orange Tabby/White,
354,A818516,2020-06-11T10:29:00.000,2020-06-11T10:29:00.000,2020-05-10T00:00:00.000,Euthanasia,Rabies Risk,Other,Unknown,4 weeks,Raccoon,Brown,
355,A818345,2020-06-11T09:28:00.000,2020-06-11T09:28:00.000,2020-03-24T00:00:00.000,Transfer,Partner,Dog,Intact Female,2 months,Boxer Mix,Brown/Black,Leslie
356,A653383,2020-06-11T09:03:00.000,2020-06-11T09:03:00.000,2013-01-22T00:00:00.000,Adoption,Foster,Dog,Neutered Male,7 years,Labrador Retriever Mix,Black/White,Harlan
357,A816753,2020-06-11T08:53:00.000,2020-06-11T08:53:00.000,2020-03-26T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Medium Hair,Black/White,*Marx
358,A816906,2020-06-11T08:49:00.000,2020-06-11T08:49:00.000,2020-03-01T00:00:00.000,Adoption,Foster,Cat,Neutered Male,3 months,Domestic Shorthair,Black/White,
359,A817729,2020-06-11T08:38:00.000,2020-06-11T08:38:00.000,2020-03-26T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,
360,A817188,2020-06-11T08:31:00.000,2020-06-11T08:31:00.000,2020-04-09T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby/White,*Smudge
361,A802093,2020-06-11T08:15:00.000,2020-06-11T08:15:00.000,2016-08-13T00:00:00.000,Adoption,Foster,Dog,Spayed Female,3 years,Pit Bull Mix,White/Black,*Biscuit
362,A817777,2020-06-11T08:11:00.000,2020-06-11T08:11:00.000,2020-03-26T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby,
363,A817776,2020-06-11T08:05:00.000,2020-06-11T08:05:00.000,2020-03-26T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair,Blue Tabby,
364,A818535,2020-06-11T00:00:00.000,2020-06-11T00:00:00.000,2008-06-10T00:00:00.000,Transfer,Partner,Cat,Intact Male,12 years,Domestic Shorthair,Black/White,
365,A818180,2020-06-10T19:21:00.000,2020-06-10T19:21:00.000,2020-03-03T00:00:00.000,Adoption,,Cat,Spayed Female,3 months,Domestic Shorthair,Lynx Point/White,
366,A792884,2020-06-10T19:08:00.000,2020-06-10T19:08:00.000,2018-04-16T00:00:00.000,Adoption,,Dog,Neutered Male,2 years,Pit Bull Mix,Tan/White,Princeton
367,A818038,2020-06-10T18:57:00.000,2020-06-10T18:57:00.000,2019-10-01T00:00:00.000,Adoption,,Dog,Spayed Female,8 months,Plott Hound Mix,Brown Brindle/White,*Cheyenne
368,A818566,2020-06-10T18:42:00.000,2020-06-10T18:42:00.000,2020-06-10T00:00:00.000,Died,In Kennel,Cat,Unknown,0 years,Domestic Shorthair,Black,
369,A732172,2020-06-10T18:29:00.000,2020-06-10T18:29:00.000,2014-03-04T00:00:00.000,Return to Owner,,Dog,Intact Male,6 years,Catahoula Mix,Black Brindle/White,Clyde
370,A818478,2020-06-10T17:22:00.000,2020-06-10T17:22:00.000,2020-04-30T00:00:00.000,Transfer,Partner,Dog,Intact Female,1 month,Labrador Retriever/Siberian Husky,Brown,*Velvet
371,A818477,2020-06-10T17:22:00.000,2020-06-10T17:22:00.000,2020-04-30T00:00:00.000,Transfer,Partner,Dog,Intact Female,1 month,Labrador Retriever/Siberian Husky,Brown,*Downy
372,A818476,2020-06-10T17:22:00.000,2020-06-10T17:22:00.000,2020-04-30T00:00:00.000,Transfer,Partner,Dog,Intact Female,1 month,Labrador Retriever/Siberian Husky,Brown,*Fuzz
373,A818293,2020-06-10T16:34:00.000,2020-06-10T16:34:00.000,2020-03-25T00:00:00.000,Adoption,,Dog,Neutered Male,2 months,Labrador Retriever Mix,Black/White,Shadow
374,A817978,2020-06-10T16:20:00.000,2020-06-10T16:20:00.000,2017-11-29T00:00:00.000,Adoption,,Cat,Neutered Male,2 years,Maine Coon,Orange Tabby,Bartholomew
375,A817728,2020-06-10T16:12:00.000,2020-06-10T16:12:00.000,2020-03-26T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Blue Tabby,
376,A816583,2020-06-10T16:00:00.000,2020-06-10T16:00:00.000,2019-04-22T00:00:00.000,Adoption,,Cat,Spayed Female,1 year,Domestic Shorthair,Torbie,*Peaches
377,A817432,2020-06-10T15:43:00.000,2020-06-10T15:43:00.000,2020-04-08T00:00:00.000,Adoption,Foster,Cat,Spayed Female,2 months,Domestic Shorthair Mix,Brown Tabby,*Bubbles
378,A817433,2020-06-10T15:26:00.000,2020-06-10T15:26:00.000,2020-04-08T00:00:00.000,Adoption,Foster,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Orange Tabby,*Mojo Jojo
379,A818541,2020-06-10T15:18:00.000,2020-06-10T15:18:00.000,2008-06-10T00:00:00.000,Euthanasia,Suffering,Cat,Intact Male,12 years,Domestic Shorthair,Black/White,
380,A818466,2020-06-10T14:59:00.000,2020-06-10T14:59:00.000,2018-06-09T00:00:00.000,Return to Owner,,Dog,Spayed Female,2 years,Labrador Retriever,Black,Sky
381,A818514,2020-06-10T14:17:00.000,2020-06-10T14:17:00.000,2020-03-10T00:00:00.000,Euthanasia,Suffering,Dog,Intact Male,3 months,Anatol Shepherd/Great Pyrenees,White/Black,
382,A817801,2020-06-10T13:33:00.000,2020-06-10T13:33:00.000,2019-07-26T00:00:00.000,Adoption,Foster,Dog,Neutered Male,10 months,Labrador Retriever Mix,Black,*Milo
383,A818297,2020-06-10T12:41:00.000,2020-06-10T12:41:00.000,2019-06-05T00:00:00.000,Adoption,,Dog,Neutered Male,1 year,Boxer Mix,Tan/White,*Lincoln
384,A818272,2020-06-10T11:52:00.000,2020-06-10T11:52:00.000,2016-06-04T00:00:00.000,Transfer,Partner,Dog,Neutered Male,4 years,Anatol Shepherd,Tan/White,*Goose The Moose
385,A818360,2020-06-10T10:17:00.000,2020-06-10T10:17:00.000,2020-03-23T00:00:00.000,Died,In Kennel,Dog,Intact Male,2 months,Labrador Retriever,Black,
